id,created_at,text,,
8.62423E+17,5/10/17 21:45,b'RT @C7pilot: \xf0\x9f\x93\xa2Fellow Patriots!\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\nIt Has Been A Great Day Folks!\n#WINNING Will Resume Tomorrow!\n#MAGA\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\n#DrainingTheSwamp\n\xf0\x9f\x87\xba\xf0\x9f\x87\xb8America - 1\n\xf0\x9f\x90\x80Swa\xe2\x80\xa6',"[{'text': 'WINNING', 'indices': [64, 72]}, {'text': 'MAGA', 'indices': [95, 100]}, {'text': 'DrainingTheSwamp', 'indices': [103, 120]}]","[{'screen_name': 'C7pilot', 'name': 'Mike PhillipsÂ®_Ÿ‡º_Ÿ‡¸', 'id': 748715136723001344, 'id_str': '748715136723001344', 'indices': [3, 11]}]"
8.62423E+17,5/10/17 21:45,"b""RT @KellyAlfaroBeck: I'm just going to set these down right here, @kurteichenwald. \n\nThank you for your support. \n\n#MAGA \n#comeyfired https\xe2\x80\xa6""","[{'text': 'MAGA', 'indices': [115, 120]}, {'text': 'comeyfired', 'indices': [122, 133]}]","[{'screen_name': 'KellyAlfaroBeck', 'name': 'Kelly B _ŸŒ_', 'id': 1029962912, 'id_str': '1029962912', 'indices': [3, 19]}, {'screen_name': 'kurteichenwald', 'name': 'Kurt Eichenwald', 'id': 215207998, 'id_str': '215207998', 'indices': [66, 81]}]"
8.62423E+17,5/10/17 21:45,b'RT @JewRicans: #DeathOfTheRepublic Democrats Ignited After Comey Firing https://t.co/FN85RdUurU #TheResistance will #MAGA #RT #Follow https\xe2\x80\xa6',"[{'text': 'DeathOfTheRepublic', 'indices': [15, 34]}, {'text': 'TheResistance', 'indices': [96, 110]}, {'text': 'MAGA', 'indices': [116, 121]}, {'text': 'RT', 'indices': [122, 125]}, {'text': 'Follow', 'indices': [126, 133]}]","[{'screen_name': 'JewRicans', 'name': 'Jew Ricans', 'id': 709495793825292288, 'id_str': '709495793825292288', 'indices': [3, 13]}]"
8.62423E+17,5/10/17 21:45,"b'RT @Miami4Trump: Hey Comey, THIS Is The Moment You Lost ALL CREDIBILITY By Not Prosecuting A Career Criminal, Known As Crooked Hillary \xf0\x9f\x98\x82\n#F\xe2\x80\xa6'",[],"[{'screen_name': 'Miami4Trump', 'name': 'Jordan _Ÿ‡º_Ÿ‡¸', 'id': 704034081898668032, 'id_str': '704034081898668032', 'indices': [3, 15]}]"
8.62423E+17,5/10/17 21:45,b'Well done #POTUS. Well timed. Fake news out. Comey gone. Opening the door to + relations with Russia and China. You\xe2\x80\xa6 https://t.co/fSFUv3OriR',"[{'text': 'POTUS', 'indices': [10, 16]}]",[]
8.62423E+17,5/10/17 21:45,"b""RT @buzzcutbarbie: @CCOT_MAGA @LindaLovelacee @kaybetooshort BeCaUse ShE'S wHiTe? REpUbLiCan? BoTh? https://t.co/pUy8PYFd1i""",[],"[{'screen_name': 'buzzcutbarbie', 'name': 'name cannot be blank', 'id': 4831230831, 'id_str': '4831230831', 'indices': [3, 17]}, {'screen_name': 'CCOT_MAGA', 'name': 'Conservative _Ÿ‡º_Ÿ‡¸', 'id': 506869952, 'id_str': '506869952', 'indices': [19, 29]}, {'screen_name': 'LindaLovelacee', 'name': 'comet', 'id': 433055692, 'id_str': '433055692', 'indices': [30, 45]}, {'screen_name': 'kaybetooshort', 'name': 'Issa Midget_ŸŒ™', 'id': 770084318060380161, 'id_str': '770084318060380161', 'indices': [46, 60]}]"
8.62423E+17,5/10/17 21:45,b'RT @LouDobbs: No doubt about it! #MAGA @POTUS #TrumpTrain #AmericaFirst #DTS #Dobbs https://t.co/GrJMBeoKBh',"[{'text': 'MAGA', 'indices': [33, 38]}, {'text': 'TrumpTrain', 'indices': [46, 57]}, {'text': 'AmericaFirst', 'indices': [58, 71]}, {'text': 'DTS', 'indices': [72, 76]}, {'text': 'Dobbs', 'indices': [77, 83]}]","[{'screen_name': 'LouDobbs', 'name': 'Lou Dobbs', 'id': 26487169, 'id_str': '26487169', 'indices': [3, 12]}, {'screen_name': 'POTUS', 'name': 'President Trump', 'id': 822215679726100480, 'id_str': '822215679726100480', 'indices': [39, 45]}]"
8.62423E+17,5/10/17 21:45,"b'RT @eljueves: Han detenido a un cargo del PP por corrupci\xc3\xb3n. Da igual qu\xc3\xa9 d\xc3\xada leas este tuit, tiene un 50% de posibilidades de ser cierto.'",[],"[{'screen_name': 'eljueves', 'name': 'El Jueves', 'id': 17191272, 'id_str': '17191272', 'indices': [3, 12]}]"
8.62423E+17,5/10/17 21:45,b'RT @LouDobbs: No doubt about it! #MAGA @POTUS #TrumpTrain #AmericaFirst #DTS #Dobbs https://t.co/GrJMBeoKBh',"[{'text': 'MAGA', 'indices': [33, 38]}, {'text': 'TrumpTrain', 'indices': [46, 57]}, {'text': 'AmericaFirst', 'indices': [58, 71]}, {'text': 'DTS', 'indices': [72, 76]}, {'text': 'Dobbs', 'indices': [77, 83]}]","[{'screen_name': 'LouDobbs', 'name': 'Lou Dobbs', 'id': 26487169, 'id_str': '26487169', 'indices': [3, 12]}, {'screen_name': 'POTUS', 'name': 'President Trump', 'id': 822215679726100480, 'id_str': '822215679726100480', 'indices': [39, 45]}]"
8.62423E+17,5/10/17 21:45,"b'RT @LouDobbs: No President in history has put up with so much aggravating petty, nasty partisan ingorance #MAGA @POTUS #TrumpTrain #America\xe2\x80\xa6'","[{'text': 'MAGA', 'indices': [106, 111]}, {'text': 'TrumpTrain', 'indices': [119, 130]}]","[{'screen_name': 'LouDobbs', 'name': 'Lou Dobbs', 'id': 26487169, 'id_str': '26487169', 'indices': [3, 12]}, {'screen_name': 'POTUS', 'name': 'President Trump', 'id': 822215679726100480, 'id_str': '822215679726100480', 'indices': [112, 118]}]"
8.62423E+17,5/10/17 21:45,"b'RT @LouDobbs: Comey Fired! @PressSec: ""There was clearly a loss of confidence in Dir Comey by the men &amp; women who so ably serve the FBI."" #\xe2\x80\xa6'",[],"[{'screen_name': 'LouDobbs', 'name': 'Lou Dobbs', 'id': 26487169, 'id_str': '26487169', 'indices': [3, 12]}, {'screen_name': 'PressSec', 'name': 'Sean Spicer', 'id': 818927131883356161, 'id_str': '818927131883356161', 'indices': [27, 36]}]"
8.62423E+17,5/10/17 21:45,"b""RT @buzzcutbarbie: @CCOT_MAGA @LindaLovelacee @kaybetooshort BeCaUse ShE'S wHiTe? REpUbLiCan? BoTh? https://t.co/pUy8PYFd1i""",[],"[{'screen_name': 'buzzcutbarbie', 'name': 'name cannot be blank', 'id': 4831230831, 'id_str': '4831230831', 'indices': [3, 17]}, {'screen_name': 'CCOT_MAGA', 'name': 'Conservative _Ÿ‡º_Ÿ‡¸', 'id': 506869952, 'id_str': '506869952', 'indices': [19, 29]}, {'screen_name': 'LindaLovelacee', 'name': 'comet', 'id': 433055692, 'id_str': '433055692', 'indices': [30, 45]}, {'screen_name': 'kaybetooshort', 'name': 'Issa Midget_ŸŒ™', 'id': 770084318060380161, 'id_str': '770084318060380161', 'indices': [46, 60]}]"
